Player,Country,Matches,Field_Catches,Bat_Avg_T20,Strike_Rate_T20,Bowl_Avg_T20,Econ_T20,Bowl_Wkts_T20,Bat_Runs_T20,Bat_Avg_ODI,Strike_Rate_ODI,Bowl_Avg_ODI,Econ_ODI,Bowl_Wkts_ODI,Bat_Runs_ODI,Bat_Avg_Test,Strike_Rate_Test,Bowl_Avg_Test,Econ_Test,Bowl_Wkts_Test,Bat_Runs_Test,Bat_Avg_Overall,Bowl_Wkts_Overall,Avg_vs_International,Avg_vs_League,Avg_vs_Australia,Avg_vs_India,Avg_vs_England
Emily Sirs,Indonesia,6,1,6.33,51.35,0.0,3.11,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.33,0.0,0.0,6.33,0.0,0.0,0.0
A Vailoa,Cook Islands,6,1,0.0,0.0,11.22,5.51,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
BD Pare,Indonesia,1,0,3.0,50.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0
T Elikana,Cook Islands,4,2,3.0,18.75,73.0,7.42,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0
Ma Luz Barcelona,Philippines,2,0,0.0,0.0,0.0,5.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Bowers-Fleming,Cook Islands,2,4,1.0,10.0,13.0,8.67,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Noorainah,Indonesia,2,1,4.0,36.36,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0
S Foo-Ryland,Portugal,3,1,127.0,83.55,0.0,0.0,0.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,0.0,127.0,0.0,0.0,0.0
SG Luijke,Portugal,3,0,5.33,64.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.33,0.0,0.0,5.33,0.0,0.0,0.0
GS Sequeira,Portugal,3,1,122.0,96.83,11.0,4.46,5.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,5.0,0.0,122.0,0.0,0.0,0.0
